Iph = 0.2, vL = 1.9000000000000001, iL = 0.18081901536592604
Iph = 0.2, vL = 1.9100000000000001, iL = 0.18071910874923558
Iph = 0.2, vL = 1.92, iL = 0.18061920187601993
Iph = 0.2, vL = 1.93, iL = 0.18051929473618133
Iph = 0.2, vL = 1.94, iL = 0.18041938731922447
Iph = 0.2, vL = 1.95, iL = 0.18031947961424094
Iph = 0.2, vL = 1.96, iL = 0.180219571609893
Iph = 0.2, vL = 1.97, iL = 0.18011966329439646
Iph = 0.2, vL = 1.98, iL = 0.18001975465550343
Iph = 0.2, vL = 1.99, iL = 0.1799198456804838
Iph = 0.2, vL = 2.0, iL = 0.17981993635610632
Iph = 0.2, vL = 2.0100000000000002, iL = 0.17972002666861905
Iph = 0.2, vL = 2.02, iL = 0.17962011660372856
Iph = 0.2, vL = 2.0300000000000002, iL = 0.17952020614657896
Iph = 0.2, vL = 2.04, iL = 0.17942029528172937
Iph = 0.2, vL = 2.05, iL = 0.17932038399313122
Iph = 0.2, vL = 2.06, iL = 0.17922047226410423
Iph = 0.2, vL = 2.07, iL = 0.17912056007731145
Iph = 0.2, vL = 2.08, iL = 0.17902064741473356
Iph = 0.2, vL = 2.09, iL = 0.17892073425764182
Iph = 0.2, vL = 2.1, iL = 0.1788208205865704
Iph = 0.2, vL = 2.11, iL = 0.1787209063812871
Iph = 0.2, vL = 2.12, iL = 0.17862099162076336
Iph = 0.2, vL = 2.13, iL = 0.17852107628314287
Iph = 0.2, vL = 2.14, iL = 0.17842116034570898
Iph = 0.2, vL = 2.15, iL = 0.17832124378485079
Iph = 0.2, vL = 2.16, iL = 0.17822132657602796
Iph = 0.2, vL = 2.17, iL = 0.17812140869373427
Iph = 0.2, vL = 2.18, iL = 0.17802149011145937
Iph = 0.2, vL = 2.19, iL = 0.17792157080164944
Iph = 0.2, vL = 2.2, iL = 0.17782165073566597
Iph = 0.2, vL = 2.21, iL = 0.17772172988374318
Iph = 0.2, vL = 2.22, iL = 0.17762180821494356
Iph = 0.2, vL = 2.23, iL = 0.17752188569711186
Iph = 0.2, vL = 2.24, iL = 0.17742196229682702
Iph = 0.2, vL = 2.25, iL = 0.17732203797935242
Iph = 0.2, vL = 2.2600000000000002, iL = 0.17722211270858407
Iph = 0.2, vL = 2.27, iL = 0.1771221864469968
Iph = 0.2, vL = 2.2800000000000002, iL = 0.1770222591555883
Iph = 0.2, vL = 2.29, iL = 0.17692233079382108
Iph = 0.2, vL = 2.3000000000000003, iL = 0.1768224013195618
Iph = 0.2, vL = 2.31, iL = 0.1767224706890187
Iph = 0.2, vL = 2.32, iL = 0.17662253885667617
Iph = 0.2, vL = 2.33, iL = 0.17652260577522694
Iph = 0.2, vL = 2.34, iL = 0.17642267139550158
Iph = 0.2, vL = 2.35, iL = 0.1763227356663952
Iph = 0.2, vL = 2.36, iL = 0.17622279853479117
Iph = 0.2, vL = 2.37, iL = 0.176122859945482
Iph = 0.2, vL = 2.38, iL = 0.17602291984108706
Iph = 0.2, vL = 2.39, iL = 0.17592297816196706
Iph = 0.2, vL = 2.4, iL = 0.17582303484613498
Iph = 0.2, vL = 2.41, iL = 0.1757230898291639
Iph = 0.2, vL = 2.42, iL = 0.1756231430440907
Iph = 0.2, vL = 2.43, iL = 0.17552319442131645
Iph = 0.2, vL = 2.44, iL = 0.17542324388850247
Iph = 0.2, vL = 2.45, iL = 0.17532329137046265
Iph = 0.2, vL = 2.46, iL = 0.1752233367890512
Iph = 0.2, vL = 2.47, iL = 0.17512338006304634
Iph = 0.2, vL = 2.48, iL = 0.17502342110802904
Iph = 0.2, vL = 2.49, iL = 0.1749234598362572
Iph = 0.2, vL = 2.5, iL = 0.174823496156535
Iph = 0.2, vL = 2.5100000000000002, iL = 0.17472352997407675
Iph = 0.2, vL = 2.52, iL = 0.17462356119036568
Iph = 0.2, vL = 2.5300000000000002, iL = 0.17452358970300696
Iph = 0.2, vL = 2.54, iL = 0.17442361540557536
Iph = 0.2, vL = 2.5500000000000003, iL = 0.1743236381874561
Iph = 0.2, vL = 2.56, iL = 0.1742236579336805
Iph = 0.2, vL = 2.57, iL = 0.17412367452475414
Iph = 0.2, vL = 2.58, iL = 0.17402368783647887
Iph = 0.2, vL = 2.59, iL = 0.17392369773976774
Iph = 0.2, vL = 2.6, iL = 0.17382370410045242
Iph = 0.2, vL = 2.61, iL = 0.17372370677908344
Iph = 0.2, vL = 2.62, iL = 0.17362370563072185
Iph = 0.2, vL = 2.63, iL = 0.1735237005047236
Iph = 0.2, vL = 2.64, iL = 0.17342369124451476
Iph = 0.2, vL = 2.65, iL = 0.173323677687358
Iph = 0.2, vL = 2.66, iL = 0.1732236596641102
Iph = 0.2, vL = 2.67, iL = 0.1731236369989702
Iph = 0.2, vL = 2.68, iL = 0.1730236095092167
Iph = 0.2, vL = 2.69, iL = 0.17292357700493585
Iph = 0.2, vL = 2.7, iL = 0.17282353928873817
Iph = 0.2, vL = 2.71, iL = 0.17272349615546428
Iph = 0.2, vL = 2.72, iL = 0.17262344739187913
Iph = 0.2, vL = 2.73, iL = 0.17252339277635392
Iph = 0.2, vL = 2.74, iL = 0.1724233320785359
Iph = 0.2, vL = 2.75, iL = 0.17232326505900486
Iph = 0.2, vL = 2.7600000000000002, iL = 0.17222319146891624
Iph = 0.2, vL = 2.77, iL = 0.17212311104963016
Iph = 0.2, vL = 2.7800000000000002, iL = 0.17202302353232593
Iph = 0.2, vL = 2.79, iL = 0.1719229286376011
Iph = 0.2, vL = 2.8000000000000003, iL = 0.1718228260750552
Iph = 0.2, vL = 2.81, iL = 0.17172271554285656
Iph = 0.2, vL = 2.82, iL = 0.1716225967272927
Iph = 0.2, vL = 2.83, iL = 0.17152246930230214
Iph = 0.2, vL = 2.84, iL = 0.17142233292898895
Iph = 0.2, vL = 2.85, iL = 0.17132218725511708
Iph = 0.2, vL = 2.86, iL = 0.17122203191458546
Iph = 0.2, vL = 2.87, iL = 0.17112186652688222
Iph = 0.2, vL = 2.88, iL = 0.17102169069651738
Iph = 0.2, vL = 2.89, iL = 0.17092150401243342
Iph = 0.2, vL = 2.9, iL = 0.1708213060473924
Iph = 0.2, vL = 2.91, iL = 0.1707210963573391
Iph = 0.2, vL = 2.92, iL = 0.170620874480739
Iph = 0.2, vL = 2.93, iL = 0.1705206399378905
Iph = 0.2, vL = 2.94, iL = 0.17042039223020947
Iph = 0.2, vL = 2.95, iL = 0.17032013083948624
Iph = 0.2, vL = 2.96, iL = 0.17021985522711316
Iph = 0.2, vL = 2.97, iL = 0.17011956483328147
Iph = 0.2, vL = 2.98, iL = 0.170019259076147
Iph = 0.2, vL = 2.99, iL = 0.16991893735096283
Iph = 0.2, vL = 3.0, iL = 0.16981859902917765
